id_song,artist,title,url,Interprète,Auteurs,Compositeurs,Année
120,Aznavour Charles,Le temps,/fr/wiki/Le_temps_(Charles_Aznavour),Charles Aznavour,,,1964
121,Aznavour Charles,Les comédiens,/fr/wiki/Les_com%C3%A9diens,Charles Aznavour,,,1962
122,Aznavour Charles,Les deux guitares,/fr/wiki/Les_deux_guitares,Charles Aznavour,,,1960
123,Aznavour Charles,Les plaisirs démodés,/fr/wiki/Les_plaisirs_d%C3%A9mod%C3%A9s,Charles Aznavour,,,1972
124,Aznavour Charles,Mes emmerdes,/fr/wiki/Mes_emmerdes,Charles Aznavour,,,1976
125,Aznavour Charles,Mourir d'aimer,/fr/wiki/Mourir_d%27aimer,Charles Aznavour,,,1971
126,Aznavour Charles,Non je n'ai rien oublié,/fr/wiki/Non_je_n%27ai_rien_oubli%C3%A9,Charles Aznavour,,,1971
127,Aznavour Charles,Que c'est triste Venise,/fr/wiki/Que_c%27est_triste_Venise,Charles Aznavour,,,1964
128,Aznavour Charles,Sur ma vie,/fr/wiki/Sur_ma_vie,Charles Aznavour ,,,1955
129,Aznavour Charles,Tu t'laisses aller,/fr/wiki/Tu_t%27laisses_aller,Charles Aznavour,,,1960
130,Azzam Bob,Mustapha,/fr/wiki/Mustapha,Bob Azzam,,,1959
131,Baccara,Parlez-vous français ?,/fr/wiki/Parlez-vous_fran%C3%A7ais_%3F,Baccara,,,1978
132,Bachelet Pierre,Elle est d'ailleurs,/fr/wiki/Elle_est_d%27ailleurs,Pierre Bachelet,,,1980
133,Bachelet Pierre,Emmanuelle,/fr/wiki/Emmanuelle_(Pierre_Bachelet),Pierre Bachelet,,,1974
134,Bachelet Pierre,En l'an 2001,/fr/wiki/En_l%27an_2001,Pierre Bachelet,,,1985
135,Bachelet Pierre,Les corons,/fr/wiki/Les_corons,Pierre Bachelet ,,,1982
136,Bachelet Pierre,Marionnettiste,/fr/wiki/Marionnettiste,Pierre Bachelet,,,1986
137,Bachelet Pierre,Vingt ans,/fr/wiki/Vingt_ans,Pierre Bachelet,,,1987
138,Badi Chimène,Entre nous,/fr/wiki/Entre_nous,Chimène Badi,,,2003
139,Badi Chimène,Le jour d'après,/fr/wiki/Le_jour_d%27apr%C3%A8s,Chimène Badi,,,2004
140,Baker Joséphine,J'ai deux amours,/fr/wiki/J%27ai_deux_amours,Joséphine Baker,,,1930
141,Baker Joséphine,La petite Tonkinoise,/fr/wiki/La_petite_Tonkinoise,Joséphine Baker,,,1930
142,Balavoine Daniel,Aimer est plus fort que d'être aimé,/fr/wiki/Aimer_est_plus_fort_que_d%27%C3%AAtre_aim%C3%A9,Daniel Balavoine,,,1986
143,Balavoine Daniel,Dieu que c'est beau,/fr/wiki/Dieu_que_c%27est_beau,Daniel Balavoine,,,1984
144,Balavoine Daniel,Je ne suis pas un héros,/fr/wiki/Je_ne_suis_pas_un_h%C3%A9ros,Daniel Balavoine,,,1980
145,Balavoine Daniel,La vie ne m'apprend rien,/fr/wiki/La_vie_ne_m%27apprend_rien,Daniel Balavoine,,,1981
146,Balavoine Daniel,Lady Marlène,/fr/wiki/Lady_Marl%C3%A8ne,Daniel Balavoine,,,1977
147,Balavoine Daniel,L'Aziza,/fr/wiki/L%27Aziza,Daniel Balavoine,,,1985
148,Balavoine Daniel,Le chanteur,/fr/wiki/Le_chanteur,Daniel Balavoine,,,1978
149,Balavoine Daniel,Les petits lolos,/fr/wiki/Les_petits_lolos,Daniel Balavoine,,,1984
150,Balavoine Daniel,Lipstick polychrome,/fr/wiki/Lipstick_polychrome,Daniel Balavoine,,,1980
151,Balavoine Daniel,Lucie,/fr/wiki/Lucie_(Daniel_Balavoine),Daniel Balavoine,,,1978
